Area,Address,City,County,Price,full_address,latitude,longitude
5041,17576 OAK DRIVE,Detroit,Wayne,"$160,000","17576 OAK DRIVE, Detroit, Wayne",42.4220621,-83.1379113
5033,15320 GLASTONBURY Avenue,Detroit,Wayne,"$160,000","15320 GLASTONBURY Avenue, Detroit, Wayne",42.4014551,-83.22489209999999
5033,14365 WOODMONT Avenue,Detroit,Wayne,"$160,000","14365 WOODMONT Avenue, Detroit, Wayne",42.3926174,-83.20983389999999
5053,708 VAN DYKE Street,Detroit,Wayne,"$160,000","708 VAN DYKE Street, Detroit, Wayne",42.35265829999999,-82.9955377
5066,481 NEW TOWN Street W,Detroit,Wayne,"$160,000","481 NEW TOWN Street W, Detroit, Wayne",42.36473609999999,-82.9457858
5041,17597 Warrington,Detroit,Wayne,"$160,000","17597 Warrington, Detroit, Wayne",42.4223361,-83.1399708
5043,1515 CHICAGO Boulevard,Detroit,Wayne,"$161,000","1515 CHICAGO Boulevard, Detroit, Wayne",42.3810315,-83.0978741
5041,2582 WOODSTOCK Drive,Detroit,Wayne,"$161,000","2582 WOODSTOCK Drive, Detroit, Wayne",42.44568,-83.12925299999999
5101,1130 VINEWOOD Street,Detroit,Wayne,"$161,000","1130 VINEWOOD Street, Detroit, Wayne",42.3180566,-83.08715730000002
5066,561 NEWPORT Street,Detroit,Wayne,"$163,000","561 NEWPORT Street, Detroit, Wayne",42.3674481,-82.9440639
5066,500 NEW TOWN Street W,Detroit,Wayne,"$163,000","500 NEW TOWN Street W, Detroit, Wayne",42.3654676,-82.9456111
5066,13221 VICTORIA PARK Drive N,Detroit,Wayne,"$163,000","13221 VICTORIA PARK Drive N, Detroit, Wayne",42.3676886,-82.9476561
5041,17114 MUIRLAND Street,Detroit,Wayne,"$163,000","17114 MUIRLAND Street, Detroit, Wayne",42.4175783,-83.13379580000002
5043,535 ARDEN PARK Boulevard,Detroit,Wayne,"$164,000","535 ARDEN PARK Boulevard, Detroit, Wayne",42.3891171,-83.07775350000001
5053,1766 SEYBURN Street,Detroit,Wayne,"$165,000","1766 SEYBURN Street, Detroit, Wayne",42.3568566,-83.0009056
5033,19184 BRETTON,Detroit,Wayne,"$165,000","19184 BRETTON, Detroit, Wayne",42.4087628,-83.22962540000002
5043,724 DELAWARE Street,Detroit,Wayne,"$165,000","724 DELAWARE Street, Detroit, Wayne",42.3723721,-83.08127309999999
